date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
2024-10-19,36,,Tito Double P,87.0,153928,album,21,2024-08-22,True,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b
2023-07-07,44,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,94.0,140017,single,2,2023-04-06,False,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
2024-05-09,41,,Chappell Roan,90.0,218423,single,1,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7
2023-12-05,20,PERRO NEGRO,Bad Bunny,,162767,album,22,2023-10-13,True,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
2023-10-10,29,,Maluma,84.0,142334,album,25,2023-08-25,True,https://i.scdn.co/image/ab67616d0000b273d688b951a19f48941682e026
2024-09-10,45,Seven (feat. Latto) (Explicit Ver.),Jung Kook,86.0,183550,album,11,2023-11-03,True,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316
2024-08-03,43,Evergreen,Richy Mitch & The Coal Miners,88.0,87000,album,14,2017-05-17,False,https://i.scdn.co/image/ab67616d0000b2731cc17bae5ee17cce117e198a
2024-09-11,37,WILDFLOWER,Billie Eilish,90.0,261466,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
2024-04-12,26,Type Shit,Future & Metro Boomin,91.0,228266,album,17,2024-03-22,True,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
2023-05-31,36,I Ain't Worried,,55.0,148120,album,18,2023-02-15,False,https://i.scdn.co/image/ab67616d0000b273fedd3df3fa6f52c42fbb9e08
2024-03-01,18,I Wanna Be Yours,Arctic Monkeys,96.0,183956,album,12,2013-09-09,False,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
2023-08-15,47,S91,KAROL G,64.0,173005,album,9,2023-08-10,False,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03
2024-05-07,42,FE!N (feat. Playboi Carti),Travis Scott,92.0,191700,album,19,2023-07-28,True,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
